Titre;Date_debut;Date_fin;Lieu;Description
R1.08 (TP) FL;20231005T060000Z;20231005T080000Z;G_012b;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
Intég'Roanne RT1 - PRESENCE OBLIGATOIRE;20230912T100000Z;20230912T160000Z;vide;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.02;20231115T070000Z;20231115T090000Z;D_110;\n\nRT1-TD B\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
SAE1.PORTFOLIO en 2EME;20231206T090000Z;20231206T110000Z;G_012;\n\nRT1-TP A1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.11;20231009T060000Z;20231009T080000Z;D_024;\n\nRT1-TP A1\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
R1.03;20231120T130000Z;20231120T170000Z;G_019;\n\nRT1-TP B2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
SAE1.02 SUIVI;20240109T140000Z;20240109T150000Z;G_012;\n\nRT1-TP B2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.11;20240202T080000Z;20240202T090000Z;D_032;\n\nRT1-TD B\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231106T090000Z;20231106T110000Z;G_019;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
SAE1.02 TP 2H EN 3EME;20231221T090000Z;20231221T110000Z;G_019;\n\nRT1-TP A1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
R1.03;20231027T120000Z;20231027T160000Z;G_019;\n\nRT1-TP B1\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 0
SAE1.02 1H;20231219T130000Z;20231219T140000Z;G_007;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 2H;20231020T140000Z;20231020T160000Z;G_007;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
R1.14;20231113T090000Z;20231113T110000Z;D_032;\n\nRT1-TD A\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
R1.02;20231128T130000Z;20231128T170000Z;G_012;\n\nRT1-TP A1\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06
SAE1.01 1H;20231026T080000Z;20231026T090000Z;G_012b;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
R1.11;20231025T140000Z;20231025T160000Z;D_024;\n\nRT1-TP A2\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47
R1.13;20231025T120000Z;20231025T140000Z;G_002;\n\nRT1-TP A2\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.04 TP;20231013T140000Z;20231013T160000Z;G_004;\n\nRT1-TP B2\nCHEVRIER JEAN-PIERRE\n(Exporté le:10/01/2024 0
R1.04 TP;20231027T140000Z;20231027T160000Z;G_004;\n\nRT1-TP B2\nCHEVRIER JEAN-PIERRE\n(Exporté le:10/01/2024 0
R1.10;20231222T130000Z;20231222T150000Z;D_032;\n\nRT1-TP A2\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
R1.07 TP;20231130T090000Z;20231130T110000Z;G_007;\n\nRT1-TP B2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.07 TD 1H;20231020T090000Z;20231020T100000Z;G_003;\n\nRT1-TD A\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.12 2H;20231025T080000Z;20231025T100000Z;D_032;\n\nRT1-TD A\narmoire PC JOKER\nNEJJAR NABIH\n(Exporté le:10/
Soutien RT1-RT2 (Non Obligatoire);20231012T120000Z;20231012T160000Z;G_002\,D_110\,G_003\,G_019\,G_004\,G_007\,G_012;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.08 (TP) FL;20230921T060000Z;20230921T080000Z;G_012b;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.04 TP;20231020T140000Z;20231020T160000Z;G_004;\n\nRT1-TP B2\nCHEVRIER JEAN-PIERRE\n(Exporté le:10/01/2024 0
R1.04 TP;20231108T090000Z;20231108T110000Z;G_004;\n\nRT1-TP A2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.13;20230907T080000Z;20230907T100000Z;G_011_AMPHI;\n\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.13;20231106T150000Z;20231106T170000Z;G_002;\n\nRT1-TP B2\nBIARD MATHIEU\nArmoire PC portable\n(Exporté l
SAE1.05 TP 2H;20240111T070000Z;20240111T090000Z;B_204 salle informatique;\n\nRT1-TP B1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
SAE1.02;20240111T090000Z;20240111T100000Z;G_012;\n\nRT1-TD B\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.08 (TP) PM;20230919T120000Z;20230919T140000Z;G_012;\n\nRT1-TP B2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.03;20231108T130000Z;20231108T170000Z;G_019;\n\nRT1-TP A1\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 0
R1.01c TP DS;20231115T150000Z;20231115T170000Z;G_012;\n\nRT1-TP A2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.08 (TP) PM;20230921T060000Z;20230921T080000Z;G_012;\n\nRT1-TP A2\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\
R1.11;20240112T150000Z;20240112T170000Z;D_110;\n\nRT1-TP A1\nLONGIN RACHEL\n(Exporté le:10/01/2024 06:47)\n
R1.12 Soutenance;20231220T070000Z;20231220T090000Z;G_011_AMPHI;\n\nRT1-TD B\nNEJJAR NABIH\n(Exporté le:10/01/2024 06:47)\n
Contrôle des Absences;20230920T114500Z;20230920T120000Z;vide;\n\nRT2-S3\nRT1-S1\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:
R1.11;20231017T140000Z;20231017T160000Z;D_024;\n\nRT1-TD A\nLAURENT SYLVIANE\n(Exporté le:10/01/2024 06:47)
R1.04 ELECTRONIQUE MB;20230926T080000Z;20230926T100000Z;D_032;\n\nRT1-TD B\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
R1.04 PRE CCH 2H;20230911T080000Z;20230911T100000Z;D_026;\n\nRT1-TD A\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.14;20231204T130000Z;20231204T150000Z;G_014;\n\nRT1-TD A\nSABER OUAFAE\n(Exporté le:10/01/2024 06:47)\n
